Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;Colonne13;Colonne14;Colonne15;Colonne16;Colonne17;Colonne18;Colonne19;Colonne20;Colonne21
;iron man 1;;;;;;;;;;;;;;;;;;;
;iron man 2;First avenger;;;thor;;;;;;;;;;;;;;;Incroyable hulk
;;;;avengers;;;;;;;;;;;;;;;;
;iron man 3;soldat de l'hiver;;;thor 2;;;;;;;;;;;;;;;
;;;;avengers ultron;;;;;;;;;;;;;;;;
antman;;civil war;;;thor ragnarock;GOG;;;;;;;;;;;;;;
Antman et la guepe;;;black widow;;;GOG2;Homecoming;doctor strange;;;black panther;;;;;;;;;
;;;;infinity war;;je s'appelle groot;;;;;;captain marvel;;;;;;;;
;;;;endgame;;;;;;;;;;;;;;;;
Antman Quantumania;;Falcon et winter soldier;;;;GOG Special;Far from home;;wandavision;;wakanda forever;;ms marvel;Hawkeye;Loki S1;first step;Moon knight;Shang shi;Eternals;
;;Brave new world;;;Thor love and thunder;;No Way Home;;;;Iron Heart;The Marvels;;Echo;Loki S2;;;;;
;;Thunderbolts;;;;;Brand New Day;Multiverse of madness;;Agatha All Along;;;;Daredevil Born Again S1;;;;;;
;;;;doomsday;;;;;Vision Quest;;;;;Daredevil Born Again S2;;;;;;
